seller_id,total_price,total_freight,total_orders,avg_review_score,total_revenue
1c68394e931a64f90ea236c5ea590300,5651.7300000000005,1012.41,45,4.035714285714286,6664.14
1c742ac33582852aaf3bcfbf5893abcf,97.9,15.79,1,5.0,113.69
1ca4bdb0cd7fc48e949bac066188ed26,1140.0,363.45,3,5.0,1503.45
1ca7077d890b907f89be8c954a02686a,1151.78,311.28,21,2.0384615384615383,1463.06
1caf283236cd69af44cbc09a0a1e7d32,341.81,220.56,11,4.333333333333333,562.37
1cbcd2ee0afb3fc09963b87eb65e7e4f,90.0,40.650000000000006,1,5.0,130.65
1cbd32d00d01bb8087a5eb088612fd9c,1045.47,244.06,11,4.25,1289.53
1cbd50a8c52e6cf8e315c5709fab386f,414.18,151.3,6,3.8333333333333335,565.48
1cbdc7cf130a41fd13a3c2a7d2fcfda7,165.8,59.81,2,5.0,225.61
1cd9e0cc1839d55516843def5600816d,825.0,101.72,5,5.0,926.72
1ce3ae5a399804d1a87e706f8a813c3e,1234.9,394.26,20,3.65,1629.16
1d0646a72178a6fb37ee8082140e06ec,61.0,36.62,2,5.0,97.62
1d1bbb8ac1581824986f582583fff01d,166.88,59.589999999999996,4,3.5,226.47
1d2732ef8321502ee8488e8bed1ab8cd,321.0,53.980000000000004,2,3.0,374.98
1d29dfba02015238dfbe2449a5eaa361,211.6,68.24,4,4.75,279.84
1d4587203296c8f4ad134dc286fa6db0,1911.3,529.09,32,4.333333333333333,2440.39
1d503743d2526f03f0c2c89540ee008c,446.07,168.51,9,4.5,614.5799999999999
1d8dbc4f32378d715c717c1c1fc57bae,1726.19,579.0600000000001,15,4.071428571428571,2305.25
1d953075c2f0dd990bacf27b83b330f1,59.0,19.32,1,5.0,78.32
1da3aeb70d7989d1e6d9b0e887f97c23,3036.38,1757.85,111,4.2109375,4794.23
1dc2de47ee26a0a5b12dc14fd6dc0dea,1272.9,501.2,19,4.476190476190476,1774.1000000000001
1de62b6f2fd96227629786db492433db,208.8,28.73,2,5.0,237.53
1dfe5347016252a7884b694d4f10f5c4,367.1,110.78,4,2.1666666666666665,477.88
1e26c56af8d48424e1df0140a2401f83,258.9,33.49,2,5.0,292.39
1e8b33f18b4f7598d87f5cbee2282cc2,13667.380000000001,2114.34,88,4.39,15781.720000000001
1e8c6a4c538f286aee9573239740a4b4,359.7,87.12,5,3.8,446.82
1e9d5a33694bddb76316fd1f54734d20,318.0,150.94,2,4.5,468.94
1eade46fba20122dc4aefb379f8c636b,1614.55,449.58,25,4.448275862068965,2064.13
1f1bb1f0859883505541bdd6606193e5,6538.96,214.94,11,4.583333333333333,6753.9
1f2eebc0e970fd3c463e4f5d9652687a,44.99,8.48,1,5.0,53.47
1f50f920176fa81dab994f9023523100,30821.82,11157.63,395,4.089605734767025,41979.45
1f7dfad2cb384ea4d2d7e1ffbd78c407,49.0,8.29,1,1.0,57.29
1f7fd2a6fcd5a6fa5d8a4dabc72aaae0,215.0,36.64,1,5.0,251.64
1f867308a0ce13133a4e639ff4de0c02,91.47999999999999,89.94999999999999,3,4.166666666666667,181.42999999999998
1f9ab4708f3056ede07124aad39a2554,4757.2,914.38,28,3.925925925925926,5671.58
1fa2d3def6adfa70e58c276bb64fe5bb,6.9,9.0,1,1.0,15.9
1fbe10c70e30765ed1de86d9f7e98409,98.75,59.36,2,1.5,158.11
1fdc574883ef3b33ad41562d93f3a74a,2474.0,174.12,11,4.545454545454546,2648.12
1fe5540d7c1c37a595fefbacd5570d9e,4537.6,581.15,20,4.28,5118.75
2039c5e51785b5dde7cf93ccb3b7be2c,159.9,13.78,1,5.0,173.68
204b4e07bddef3c9b317f70189135b22,73.4,14.73,1,5.0,88.13000000000001
20611af7866c6068fd5ae1f9dbe15c92,219.8,114.5,2,4.5,334.3
2075d8cd4dd63ff12df0749a5866bb06,184.7,57.53,3,5.0,242.23
2089a6d640999f9b9141ac719b2af596,745.6,90.96,6,4.666666666666667,836.5600000000001
20a8b0dc55da94fe74d112082427c84f,407.4,123.98,7,4.285714285714286,531.38
20b54c376b794ed028df09a3cd88e8dc,488.45,65.85000000000001,4,2.75,554.3
20cb7c2fde3e5bf10f0bbe7394e1c6a9,135.2,161.16,5,3.625,296.36
20d83f3ef0e6925fd74bfd59170babf7,988.2,202.68,12,4.611111111111111,1190.88
2138ccb85b11a4ec1e37afbd1c8eda1f,2371.71,1018.39,69,3.6164383561643834,3390.1
213b25e6f54661939f11710a6fddb871,14410.05,3093.62,143,3.8372093023255816,17503.67
213fafb0ca06fb3d5886579c2565791b,189.70000000000002,27.16,3,2.3333333333333335,216.86
2156f2671501a81034d7d07f217609d0,2082.6,240.49,10,3.7,2323.09
218d46b86c1881d022bce9c68a7d4b15,11492.68,1875.0,97,3.8653846153846154,13367.68
218f991754f360af9c2daa5e0b8e990c,2894.62,210.49,11,3.2142857142857144,3105.1099999999997
2199e7fe213c16213bf5d6a7eadc9a5d,613.0,138.57,7,4.75,751.5699999999999
21c62b998a043ebe31161d38f84929fc,750.49,90.84,4,4.5,841.33
21d59342ba150175ca2aa4f8faddeca6,259.9,74.39,2,4.5,334.28999999999996
226b05fe067266c59c15dae208213d06,1056.9,188.68,10,4.181818181818182,1245.5800000000002
228e4c1a0be164f613d41c24345f9d2c,539.7,229.74,5,5.0,769.44
229c3efbfb0ea2058de4ccdfbc3d784a,3067.0,474.02,18,4.32,3541.02
2305ab43e846518f58dd9d59f3f54e96,788.89,42.370000000000005,3,3.6666666666666665,831.26
232a6014e7b10cba61c6c2b2ea6bb4b0,1483.3,503.2,12,4.416666666666667,1986.5
23613d49c3ac2bd302259e55c06c050c,885.4,635.6899999999999,20,3.5384615384615383,1521.09
236585a4ddb5fea9fa40233e2249ed91,209.96999999999997,54.84,3,4.666666666666667,264.80999999999995
2379bdc3888025689a9deb7b141507d5,832.7,93.89,6,4.166666666666667,926.59
238fac594e170b59c6d228f5a4f4f1d9,1472.0,729.41,13,3.9285714285714284,2201.41
23a0ffca143a15b9b5bbdb7d552f626a,3718.51,585.77,23,3.9583333333333335,4304.280000000001
